1,Ruta del aguilar,Ruta,Ruta con guia cercana a la playa del aguilar con buenas vistas,10
2,Ruta de los miradores,Ruta,Ruta con guia que recorre miradores costeros,10
3,Sidreria Taperia El Centro,Restaurante,Restaurante con menu a precio asequible,9
4,Mesón El Carbayu,Restaurante,Restaurante de cocina asturiana de buena calidad,12
5,Casa Zoilo,Restaurante,Restaurante con buenas valoraciones de sus clientes,10
6,Restaurante Opera,Restaurante,Restaurante con mayor precio de menu y con buena calidad,16
7,La Xana del Caballar,Restaurante,Restaurante con buenas vistas,12
8,Bar Casa Julio,Ruta,Restaurante comida tipica a buen precio,11
9,Hotel Rural Playa de Aguilar,Hotel,Hotel cercano a la playa del aguilar,50
10,HOTEL BOUTIQUE VILLA DEL MARQUÉS,Hotel,Hotel de lujo de muros del nalon,80
